"14jt -- Varhaiskasvatukseen osallistuneet vieraskieliset ja ulkomaalaiset lapset alueen ja iän mukaan, 2021-2024"

"Vuosi";"Alue";"Ikä";"Varhaiskasvatukseen osallistuneet lapset";"Vieraskieliset varhaiskasvatukseen osallistuneet lapset"
"2024";"Liminka";"Yhteensä";713;6
"2024";"Liperi";"Yhteensä";524;12
"2024";"Lohja";"Yhteensä";1735;140
"2024";"Loimaa";"Yhteensä";543;45
"2024";"Loppi";"Yhteensä";286;14
"2024";"Loviisa";"Yhteensä";497;28
"2024";"Luhanka";"Yhteensä";10;0
"2024";"Lumijoki";"Yhteensä";100;8
"2024";"Luoto";"Yhteensä";373;12
"2024";"Luumäki";"Yhteensä";131;14
"2024";"Maalahti";"Yhteensä";287;18
"2024";"Marttila";"Yhteensä";79;1
"2024";"Masku";"Yhteensä";505;17
"2024";"Merijärvi";"Yhteensä";23;0
"2024";"Merikarvia";"Yhteensä";99;3
"2024";"Miehikkälä";"Yhteensä";41;3
"2024";"Mikkeli";"Yhteensä";1928;156
"2024";"Muhos";"Yhteensä";426;5
"2024";"Multia";"Yhteensä";37;3
"2024";"Muonio";"Yhteensä";69;0
"2024";"Mustasaari";"Yhteensä";1095;25
"2024";"Muurame";"Yhteensä";514;8
"2024";"Mynämäki";"Yhteensä";333;21
"2024";"Myrskylä";"Yhteensä";46;2
"2024";"Mäntsälä";"Yhteensä";915;59
"2024";"Mänttä-Vilppula";"Yhteensä";251;17
"2024";"Mäntyharju";"Yhteensä";117;7
"2024";"Naantali";"Yhteensä";813;32
"2024";"Nakkila";"Yhteensä";155;3
"2024";"Nivala";"Yhteensä";438;6
"2024";"Nokia";"Yhteensä";1805;62
"2024";"Nousiainen";"Yhteensä";240;4
"2024";"Nurmes";"Yhteensä";265;8
"2024";"Nurmijärvi";"Yhteensä";2259;243
"2024";"Närpiö";"Yhteensä";378;124
"2024";"Orimattila";"Yhteensä";638;23
"2024";"Oripää";"Yhteensä";49;5
"2024";"Orivesi";"Yhteensä";293;5
"2024";"Oulainen";"Yhteensä";213;7
"2024";"Oulu";"Yhteensä";10367;843
"2024";"Outokumpu";"Yhteensä";173;26
"2024";"Padasjoki";"Yhteensä";47;1
"2024";"Paimio";"Yhteensä";611;28
"2024";"Paltamo";"Yhteensä";93;4
"2024";"Parainen";"Yhteensä";677;36
"2024";"Parikkala";"Yhteensä";97;1
"2024";"Parkano";"Yhteensä";207;12
"2024";"Pedersören kunta";"Yhteensä";659;23
"2024";"Pelkosenniemi";"Yhteensä";30;2
"2024";"Pello";"Yhteensä";80;2
"2024";"Perho";"Yhteensä";114;2
"2024";"Pertunmaa";"Yhteensä";37;1
"2024";"Petäjävesi";"Yhteensä";181;2
"2024";"Pieksämäki";"Yhteensä";541;70
"2024";"Pielavesi";"Yhteensä";79;1
"2024";"Pietarsaari";"Yhteensä";824;224
"2024";"Pihtipudas";"Yhteensä";84;3
"2024";"Pirkkala";"Yhteensä";910;37
"2024";"Polvijärvi";"Yhteensä";139;1
"2024";"Pomarkku";"Yhteensä";72;0
"2024";"Pori";"Yhteensä";3023;215
"2024";"Pornainen";"Yhteensä";229;5
